node_id,node_type,name,Rack_Circuit_Capacity_(design),Rack_Circuit_Capacity_(rated),Rack_LiquidCool_Fraction,Rack_AirCool_Fraction,RDHx_MaxHeat_Removal,DTC_MaxCool_Capacity,RPP_Panel_Capacity_(design),RPP_BreakerPole_Capacity,Rack_Count,LL_Cooling_Capacity,Loop_Supply_Setpoint,Loop_DeltaT_(design),LL.Maximum_Flow_Rate,AirZone_Cooling_Capacity,Rack_DeltaT_(design),Maximum_Air_Flow,Rated_Cooling_Capacity,ColdAisle_Supply_Temp,Rack_Inlet_Setpoint,RPDU_Operational_Cap,RPDU_Design_Capacity,RPDU_Transformer_Rating,UPS_Operational_Cap,UPS_Design_Capacity,UPS_Rated_Capacity,Capacity_Envelope,Pump_Capacity
ACU-01-A,Air Cooling Unit,Air Cooling Unit ACU-01-A,,,,,,,,,,,,,,,,6.944444444,100,,,,,,,,,,
ACU-01-B,Air Cooling Unit,Air Cooling Unit ACU-01-B,,,,,,,,,,,,,,,,6.944444444,100,,,,,,,,,,
ACU-02-A,Air Cooling Unit,Air Cooling Unit ACU-02-A,,,,,,,,,,,,,,,,6.944444444,100,,,,,,,,,,
ACU-02-B,Air Cooling Unit,Air Cooling Unit ACU-02-B,,,,,,,,,,,,,,,,6.944444444,100,,,,,,,,,,
CRAH-AZ-R3-E1-01,Air Cooling Unit,CRAH-AZ-R3-E1-01,,,,,,,,,,,,,,,,6.944444444,100,,,,,,,,,,
CRAH-AZ-R3-E1-02,Air Cooling Unit,CRAH-AZ-R3-E1-02,,,,,,,,,,,,,,,,6.944444444,100,,,,,,,,,,
CRAH-AZ-R3-E1-03,Air Cooling Unit,CRAH-AZ-R3-E1-03,,,,,,,,,,,,,,,,6.944444444,100,,,,,,,,,,
CRAH-AZ-R3-E1-04,Air Cooling Unit,CRAH-AZ-R3-E1-04,,,,,,,,,,,,,,,,6.944444444,100,,,,,,,,,,
CRAH-AZ-R3-E1-05,Air Cooling Unit,CRAH-AZ-R3-E1-05,,,,,,,,,,,,,,,,6.944444444,100,,,,,,,,,,
CRAH-AZ-R3-E2-01,Air Cooling Unit,CRAH-AZ-R3-E2-01,,,,,,,,,,,,,,,,6.944444444,100,,,,,,,,,,
CRAH-AZ-R3-E2-02,Air Cooling Unit,CRAH-AZ-R3-E2-02,,,,,,,,,,,,,,,,6.944444444,100,,,,,,,,,,
CRAH-AZ-R3-E2-03,Air Cooling Unit,CRAH-AZ-R3-E2-03,,,,,,,,,,,,,,,,6.944444444,100,,,,,,,,,,
CRAH-AZ-R3-W1-01,Air Cooling Unit,CRAH-AZ-R3-W1-01,,,,,,,,,,,,,,,,6.944444444,100,,,,,,,,,,
CRAH-AZ-R3-W1-02,Air Cooling Unit,CRAH-AZ-R3-W1-02,,,,,,,,,,,,,,,,6.944444444,100,,,,,,,,,,
CRAH-AZ-R3-W1-03,Air Cooling Unit,CRAH-AZ-R3-W1-03,,,,,,,,,,,,,,,,6.944444444,100,,,,,,,,,,
CRAH-AZ-R3-W1-04,Air Cooling Unit,CRAH-AZ-R3-W1-04,,,,,,,,,,,,,,,,6.944444444,100,,,,,,,,,,
CRAH-AZ-R3-W1-05,Air Cooling Unit,CRAH-AZ-R3-W1-05,,,,,,,,,,,,,,,,6.944444444,100,,,,,,,,,,
CRAH-AZ-R3-W2-01,Air Cooling Unit,CRAH-AZ-R3-W2-01,,,,,,,,,,,,,,,,6.944444444,100,,,,,,,,,,
CRAH-AZ-R3-W2-02,Air Cooling Unit,CRAH-AZ-R3-W2-02,,,,,,,,,,,,,,,,6.944444444,100,,,,,,,,,,
